CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 14326
NOMBRE    : TOTUATE
ESTADO    : JALISCO
MUNICIPIO : MEZQUITIC
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 022.284°
LONGITUD  : -103.736°
ALTITUD   : 1,360 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (°C)   (°C)
01/01/2008  0      3.8    30     0 
02/01/2008  0      3.3    26     3 
03/01/2008  0      3.1    24     2 
04/01/2008  0      3.8    28     2 
05/01/2008  0      2.4    24     3 
06/01/2008  0      4.3    29     3 
07/01/2008  0      3.7    28     3 
08/01/2008  0      4.3    28     2 
09/01/2008  0      3.7    28     2 
10/01/2008  0      10.6   27     2 
11/01/2008  0      0.1    27     3 
12/01/2008  0      1.6    27     0 
13/01/2008  0      4      27     0 
14/01/2008  0      4.5    27     0 
15/01/2008  0      5.2    22     0 
16/01/2008  0      2.2    24     3 
17/01/2008  0      3.3    24     1 
18/01/2008  0      4      22     1 
19/01/2008  0      3.9    25     0 
20/01/2008  0      4.9    27     0 
21/01/2008  0      3.9    27     0 
22/01/2008  0      4.8    29     5 
23/01/2008  0      4.4    31     5 
24/01/2008  0      5.4    31     8 
25/01/2008  0      3.7    32     7 
26/01/2008  0      4      32     7 
27/01/2008  0      4.8    32     8 
28/01/2008  0      6.1    30     7 
29/01/2008  0      3.9    29     7 
30/01/2008  0      5.2    28     6 
31/01/2008  0      3.8    29     3 
01/02/2008  0      6      29     2 
02/02/2008  0      5.3    28     2 
03/02/2008  0      4.8    29     6 
04/02/2008  0      5.8    27     4 
05/02/2008  0      6      28     4 
06/02/2008  0      5.3    28     3 
07/02/2008  0      4.7    29     0 
08/02/2008  0      5      29     0.5 
09/02/2008  0      5.6    30     5 
10/02/2008  3      7      28     6 
11/02/2008  0      1.7    27     6 
12/02/2008  0      8.2    28     4 
13/02/2008  0      4      28     4 
14/02/2008  0      4.5    28     4 
15/02/2008  0      5.5    30     4 
16/02/2008  0      6.4    30     3 
17/02/2008  0      6.8    31     3 
18/02/2008  0      4.5    31     2 
19/02/2008  0      6.3    31     2 
20/02/2008  0      4.6    29     3 
21/02/2008  0      6.5    28     3 
22/02/2008  0      7.3    32     2 
23/02/2008  0      6.2    34     0 
24/02/2008  0      7.8    36     4 
25/02/2008  0      4.8    34     6 
26/02/2008  0      8.6    34     2 
27/02/2008  0      5.9    31     6 
28/02/2008  0      6.7    30     9 
29/02/2008  0      7      31     6 
01/03/2008  0      6.3    32     7 
02/03/2008  0      7.8    29     9 
03/03/2008  0      8.1    30     6 
04/03/2008  0      6.5    29     6 
05/03/2008  0      4.3    29     4 
06/03/2008  0      6.7    26     5 
07/03/2008  0      6.1    27     1 
08/03/2008  0      6.5    27     0 
09/03/2008  0      7.8    27     4 
10/03/2008  0      5.2    29     4 
11/03/2008  0      6.5    31     5 
12/03/2008  0      8.8    32     7 
13/03/2008  0      6.4    31     5 
14/03/2008  0      8.5    33     4 
15/03/2008  0      8.3    34     5 
16/03/2008  0      7.9    32     7 
17/03/2008  0      10.1   29     7 
18/03/2008  0      8.9    27     8 
19/03/2008  0      5.4    28     4 
20/03/2008  0      6.4    30     6 
21/03/2008  0     Nulo    33     6 
22/03/2008  0     Nulo    33     8 
23/03/2008  0     Nulo    32     10 
24/03/2008  0     Nulo    31     11 
25/03/2008  0     Nulo    31     12 
26/03/2008  0     Nulo    33     13 
27/03/2008  0     Nulo    33     11 
28/03/2008  0     Nulo    34     8 
29/03/2008  0     Nulo    34     7 
30/03/2008  0     Nulo    35     6 
31/03/2008  0     Nulo    36     6 
01/04/2008  0     Nulo    37     8 
02/04/2008  0     Nulo    37     10 
03/04/2008  0     Nulo    37     11 
04/04/2008  0     Nulo    36     10 
05/04/2008  0     Nulo    33     7 
06/04/2008  0     Nulo    34     6 
07/04/2008  0     Nulo    35     6 
08/04/2008  0     Nulo    36     6 
09/04/2008  0     Nulo    34     7 
10/04/2008  0     Nulo    34     8 
11/04/2008  0     Nulo    34     9 
12/04/2008  0     Nulo    36     8 
13/04/2008  0     Nulo    34     9 
14/04/2008  0     Nulo    32.5   10 
15/04/2008  0     Nulo    33     12 
16/04/2008  0     Nulo    34     11 
17/04/2008  0     Nulo    35     10 
18/04/2008  0     Nulo    36     8 
19/04/2008  0     Nulo    38     8 
20/04/2008  0     Nulo    36     8 
21/04/2008  0     Nulo    38     13 
22/04/2008  0     Nulo    39     13 
23/04/2008  0     Nulo    38.5   12 
24/04/2008  0     Nulo    36.5   12 
25/04/2008  0     Nulo    37     11 
26/04/2008  0     Nulo    36     11 
27/04/2008  0     Nulo    36     12 
28/04/2008  0     Nulo    35     12 
29/04/2008  0     Nulo    34     15 
30/04/2008  0     Nulo    34     12 
01/05/2008  0      4      33     10 
02/05/2008  0      3.7    33     9 
03/05/2008  0      7.7    36     9 
04/05/2008  0      10.2   37     11 
05/05/2008  0      9.2    36     11 
06/05/2008  0      1.1    36     14 
07/05/2008  0      9.3    33.5   14 
08/05/2008  0      7.6    38     12 
09/05/2008  0      10     37.5   12 
10/05/2008  0      7.4    39     13 
11/05/2008  0      3.9    40     15 
12/05/2008  0      7.4    38     17 
13/05/2008  0      10.5   36     17 
14/05/2008  0      10.1   35     17 
15/05/2008  5      8.9    28.5   20 
16/05/2008  0      11.9   32     15 
17/05/2008  0      8      33     14 
18/05/2008  0      10     32.5   14 
19/05/2008  0      7.9    31     14 
20/05/2008  0      4.2    31     11 
21/05/2008  0      8.5    33     10 
22/05/2008  0      8.8    31     12 
23/05/2008  0      9.3    32.5   11 
24/05/2008  0      9.6    36.5   11 
25/05/2008  0      10.7   38     13 
26/05/2008  0      9.4    37.5   16 
27/05/2008  0      8.7    36     18 
28/05/2008  0      11.9   38     18 
29/05/2008  0      9.5    38     18 
30/05/2008  0      5.6    38     16 
31/05/2008  0      8.1    34     17 
01/06/2008  0.6    11.6   40     18 
02/06/2008  0      11.6   41     19 
03/06/2008  0      9.6    40.5   20 
04/06/2008  0      8.9    37     20 
05/06/2008  7      1.6    39     21 
06/06/2008  7      2      29     18 
07/06/2008  2      2      31.5   18 
08/06/2008  12     10.9   26     18 
09/06/2008  0      8.2    27.5   17 
10/06/2008  6      5.1    29     17 
11/06/2008  1      1.4    32     17 
12/06/2008  0      4.7    33     18 
13/06/2008  0      4.9    34     19 
14/06/2008  0      5.5    34     19 
15/06/2008  0      6.4    32     18 
16/06/2008  0      0.4    33     18 
17/06/2008  0      14.3   36     17 
18/06/2008  0      7.3    36     17 
19/06/2008  0      0.4    32.5   19 
20/06/2008  0      4.6    32     16 
21/06/2008  0      4.6    32     16 
22/06/2008  0      5.9    33     18 
23/06/2008  5      13.3   34     18 
24/06/2008  0      6.7    33     18 
25/06/2008  0      8.6    34     18 
26/06/2008  0      4      34     18 
27/06/2008  4      11.4   33     20 
28/06/2008  1      4.1    32     17 
29/06/2008  22     6.2    30     17 
30/06/2008  3      8.2    29     16 
01/07/2008  25     3.5    29     16 
02/07/2008  25     3.6    29     16 
03/07/2008  0      9.5    28     17 
04/07/2008  1      1.8    29     17 
05/07/2008  0      3.7    28     17 
06/07/2008  8      5.8    30     16 
07/07/2008  16     8      28     17 
08/07/2008  5      7.1    25     18 
09/07/2008  2      5.7    24     18 
10/07/2008  1      4.4    28     17 
11/07/2008  8      14     29     17 
12/07/2008  3      4.6    24     17 
13/07/2008  1      7.2    31     15 
14/07/2008  0      5.2    31     15 
15/07/2008  0      7.2    31     15 
16/07/2008  0      6.2    33     16 
17/07/2008  9      6.2    30     18 
18/07/2008  14     8.5    29     16 
19/07/2008  0      8.5    27     16 
20/07/2008  0      3.6    30     16 
21/07/2008  0      5.1    30     16 
22/07/2008  0      7.5    31     15 
23/07/2008  0      5.7    32     15 
24/07/2008  5      7.8    30     18 
25/07/2008  0      3.6    29     18 
26/07/2008  2      2.6    30     17 
27/07/2008  0      1.9    28     15 
28/07/2008  0      11.7   31     15 
29/07/2008  0      5.3    30     15 
30/07/2008  0      8      31     17 
31/07/2008  2      3      31     15 
01/08/2008  0      2.7    31     15 
02/08/2008  0      3.4    30     16 
03/08/2008  0      4.5    31     15 
04/08/2008  0      8.6    32     15 
05/08/2008  0      2.7    32     16 
06/08/2008  4      4.5    31     16 
07/08/2008  1      6.4    29     16 
08/08/2008  3      1.4    30     16 
09/08/2008  0      4.6    31     15 
10/08/2008  0      4.6    31     15 
11/08/2008  0      4.6    33     16 
12/08/2008  6      13     33     15 
13/08/2008  3      3.1    31     15 
14/08/2008  0      6      30     16 
15/08/2008  0      4.7    31     16 
16/08/2008  0      7.5    32     16 
17/08/2008  0      5      31     16 
18/08/2008  3      6.2    31     16 
19/08/2008  2      2.8    30     17 
20/08/2008  3      7.2    24     17 
21/08/2008  3      5.3    28     18 
22/08/2008  8      5.6    30     17 
23/08/2008  3      6      28     17 
24/08/2008  5      6.3    29     16 
25/08/2008  5      11.4   29     16 
26/08/2008  1      5.6    26     17 
27/08/2008  3      5.1    27     17 
28/08/2008  2      3.8    28     17 
29/08/2008  2      3.3    28     18 
30/08/2008  0      4.2    30     17 
31/08/2008  0      0.9    30     17 
01/09/2008  1      2.8    31     15 
02/09/2008  4      0.9    31     15 
03/09/2008  0      5.6    30     16 
04/09/2008  3      2.1    31     17 
05/09/2008  0      7.9    31     17 
06/09/2008  0      6      31     13 
07/09/2008  0      3      30     13 
08/09/2008  3      3.2    30     15 
09/09/2008  0      4.9    28     15 
10/09/2008  0      6.1    30     18 
11/09/2008  0      4.3    30     17 
12/09/2008  0      4.3    29     15 
13/09/2008  8      13.9   30     15 
14/09/2008  5      17     27     16 
15/09/2008  0      3.6    26     16 
16/09/2008  8      12.5   27     17 
17/09/2008  0      12.8   30     16 
18/09/2008  5      2.5    31     17 
19/09/2008  0      3.6    29     16 
20/09/2008  0      5      30     16 
21/09/2008  0      2.5    29     15 
22/09/2008  0      2      27     14 
23/09/2008  0      2.9    30     14 
24/09/2008  0      3.6    30     16 
25/09/2008  0      2.1    27     14 
26/09/2008  0      2      26     14 
27/09/2008  0      5      31     12 
28/09/2008  0      3.7    30     12 
29/09/2008  0      5.3    30     11 
30/09/2008  0      3.7    30     11 
01/10/2008  0      6.3    30     15 
02/10/2008  0      3.5    29     6 
03/10/2008  0      9.2    30     6 
04/10/2008  0      1.2    30     6 
05/10/2008  0      7.6    31     7 
06/10/2008  0      6      31     7 
07/10/2008  0      3.6    31     8 
08/10/2008  0      2.5    29     14 
09/10/2008  0      10.4   31     12 
10/10/2008  0      0.9    33     11 
11/10/2008  6      11.5   32     13 
12/10/2008  2      8.8    31     14 
13/10/2008  2      2.6    32     15 
14/10/2008  0      2.2    29     15 
15/10/2008  0      2.7    28     12 
16/10/2008  2      3.7    30     12 
17/10/2008  0      4.6    31     12 
18/10/2008  0      2.4    31     12 
19/10/2008  0      4.9    31     12 
20/10/2008  0      3.8    32     10 
21/10/2008  0      1.9    30     10 
22/10/2008  0      3.3    28     10 
23/10/2008  0      3.9    30     10 
24/10/2008  0      2      26     10 
25/10/2008  0      3      26.5   11 
26/10/2008  0      1.2    32     11 
27/10/2008  0      4.1    30     11 
28/10/2008  0      3.5    27     11 
29/10/2008  0      2.6    27     9 
30/10/2008  0      3.6    29     7 
31/10/2008  0      3.3    31     8 
01/11/2008  0      3.7    29     9 
02/11/2008  0      2.4    29     7 
03/11/2008  0      2.3    30     5 
04/11/2008  0      3      30     6 
05/11/2008  0      3      30     6 
06/11/2008  0      1.5    29     7 
07/11/2008  0      3      30     6 
08/11/2008  0      3      29     7 
09/11/2008  0      3.2    29     7 
10/11/2008  0      3.5    27     6 
11/11/2008  0      2.7    29     6 
12/11/2008  0      2.5    29     2 
13/11/2008  0      3.6    27     2 
14/11/2008  0      1.8    29     2 
15/11/2008  0      3      31     3 
16/11/2008  0      2.8    29     4 
17/11/2008  0      2.8    30     5 
18/11/2008  0      3.4    29     5 
19/11/2008  0      2.6    27     1 
20/11/2008  0      2      28     0 
21/11/2008  0      1.9    27     1 
22/11/2008  0      3.1    27     0 
23/11/2008  0      3.4    28     1 
24/11/2008  0      2.1    31     6 
25/11/2008  0      3.8    29     6 
26/11/2008  0      1.5    29     5 
27/11/2008  0      2.7    31     5 
28/11/2008  0      3.8    29     6 
29/11/2008  0      1.5    25     6 
30/11/2008  0      1      26     2 
01/12/2008  0      6.3    27     9 
02/12/2008  0      6.3    28     0 
03/12/2008  0      2.4    27     0 
04/12/2008  0      2.3    26     1 
05/12/2008  0      2.5    28     3 
06/12/2008  0      1.7    29     4 
07/12/2008  0      1.8    28     5 
08/12/2008  0      3.5    28     5 
09/12/2008  0      1.8    26     5 
10/12/2008  0      2.6    24     3 
11/12/2008  0      3.5    25     0 
12/12/2008  0      1.3    27     0 
13/12/2008  0      2.1    26     0 
14/12/2008  0      3.4    27     1 
15/12/2008  0      0.9    26     1 
16/12/2008  0      3.3    30     3 
17/12/2008  0      1.6    29     3 
18/12/2008  0      1.3    29     3 
19/12/2008  0      3.7    30     4 
20/12/2008  0      3.1    32     4 
21/12/2008  0      2.6    31     3 
22/12/2008  0      3.8    28     3 
23/12/2008  0      2.9    26     3 
24/12/2008  0      1.9    27     4 
25/12/2008  0      3      28     3 
26/12/2008  0      3.1    27     3 
27/12/2008  0      1.8    27     5 
28/12/2008  0      2.1    27     5 
29/12/2008  0      0.9    27.5   5 
30/12/2008  0      1.9    26     7 
31/12/2008  0      2.2    29     6 
01/01/2009  0      1.6    29     6 
02/01/2009  0      2.2    27.5   5 
03/01/2009  0      1      27     4 
04/01/2009  0      4.4    28     4 
05/01/2009  0      2.4    27     5 
06/01/2009  0      3.3    25     5 
07/01/2009  0      9.9    27     3 
08/01/2009  0      0.8    30     1 
09/01/2009  0      1.1    30     1 
10/01/2009  0      3.9    30     1 
11/01/2009  0      1.5    24     1 
12/01/2009  0      0.2    29     3 
13/01/2009  0      1.5    27     5 
14/01/2009  0      1.7    27     2 
15/01/2009  0      3.1    28     1 
16/01/2009  0      2.9    26     8 
17/01/2009  0      2      27     5 
18/01/2009  0      0.9    28     5 
19/01/2009  0      0.4    29     6 
20/01/2009  0      1.7    30     9 
21/01/2009  0      2.3    30     6 
22/01/2009  0      3.9    31     6 
23/01/2009  0      3.1    31     6 
24/01/2009  0      4.5    31     7 
25/01/2009  0      2.6    31     7 
26/01/2009  0      2.6    31     7 
27/01/2009  0      1.8    31     6 
28/01/2009  0      2.5    32     4 
29/01/2009  0      3.4    31     4 
30/01/2009  0      4      30     4 
31/01/2009  0      4.1    28     4 
01/02/2009  0      4.1    26     4 
02/02/2009  0      4.1    28     3 
03/02/2009  0      4.2    27     3 
04/02/2009  0      4.2    29     3 
05/02/2009  0      4      29     4 
06/02/2009  0      3.5    30.2   5 
07/02/2009  0      5.5    31     5 
08/02/2009  0      2.9    27     5 
09/02/2009  0      4.1    29     5 
10/02/2009  0      4.5    27     4 
11/02/2009  0      5.3    30     1 
12/02/2009  0      3.8    31     1 
13/02/2009  0      5.3    31     4 
14/02/2009  0      3.6    30     5 
15/02/2009  0      1.6    32     5 
16/02/2009  0      5.4    33     5 
17/02/2009  0      5.2    32     5 
18/02/2009  0      4.9    32     8 
19/02/2009  0      5.3    33     7 
20/02/2009  0      5.9    32     7 
21/02/2009  0      4.7    32     7 
22/02/2009  0      5.2    31     9 
23/02/2009  0      7.1    33     9 
24/02/2009  0      4.9    33     6 
25/02/2009  0      5.8    36     6 
26/02/2009  0      5.5    36     7 
27/02/2009  0      6.4    36     7 
28/02/2009  0      7.1    38     9 
01/03/2009  0      2.2    34     10 
02/03/2009  0      5.7    36     10 
03/03/2009  0      7.8    37     8 
04/03/2009  0      5.5    36     6 
05/03/2009  0      5.8    37     7 
06/03/2009  0      7.5    34.5   10 
07/03/2009  0      6.3    32     7 
08/03/2009  0      5.4    33     6 
09/03/2009  0      7.6    33     7 
10/03/2009  0      5.2    32     8 
11/03/2009  0      6.2    32     8 
12/03/2009  0      5.8    32     6 
13/03/2009  0      6.2    30     6 
14/03/2009  0      2.4    30     9 
15/03/2009  0      5.3    27     11 
16/03/2009  0      3.9    32     9 
17/03/2009  0      6      33     11 
18/03/2009  0      6.8    34     10 
19/03/2009  0      7.6    35     9 
20/03/2009  0      11.2   34     10 
21/03/2009  0      1.5    35.5   10 
22/03/2009  0      8.3    35     11 
23/03/2009  0      6.7    35     10 
24/03/2009  0      7.1    35     8 
25/03/2009  0      8.3    34     9 
26/03/2009  0      12     30     8 
27/03/2009  0      5.8    32     4 
28/03/2009  0      8.3    32     5 
29/03/2009  0      6.6    32     6 
30/03/2009  0      3.2    38     7 
31/03/2009  0      5.3    33     9 
01/04/2009  0      7.3    32     8 
02/04/2009  0      7.6    33     7 
03/04/2009  0      7.7    32     7 
04/04/2009  0      7.8    33     7 
05/04/2009  0      8.8    37     7 
06/04/2009  0      9.8    32     8 
07/04/2009  0      8      35     11 
08/04/2009  0      9.6    35     12 
09/04/2009  0      8.2    33     10 
10/04/2009  0      7.2    34     9 
11/04/2009  0      10.7   32     9 
12/04/2009  0      10.1   33     11 
13/04/2009  0      5.8    34     10 
14/04/2009  0      3.9    33     6 
15/04/2009  0      2.1    31     6 
16/04/2009  0      2.2    33     7 
17/04/2009  0      8.1    33     7 
18/04/2009  0      9.1    31     7 
19/04/2009  0      4.4    34     9 
20/04/2009  0      7.3    34     10 
21/04/2009  0      8      34     11 
22/04/2009  0      9.1    35     11 
23/04/2009  0      9.2    34.5   8 
24/04/2009  0      9      36     8 
25/04/2009  0      8.8    37     7 
26/04/2009  0      8.6    32     7 
27/04/2009  0      10.3   37     7 
28/04/2009  0      9.4    38     9 
29/04/2009  0      8.4    38     10 
30/04/2009  0      8.4    38     13 
01/05/2009  0      10.1   38     13 
02/05/2009  0      8.1    38     12 
03/05/2009  0      9.1    38     11 
04/05/2009  0      3.2    38     12 
05/05/2009  0      4      39     12 
06/05/2009  0      8.3    40     12 
07/05/2009  0      10.5   40     14 
08/05/2009  3      0      40     15 
09/05/2009  0      10.9   38     16 
10/05/2009  0      7.3    37     6 
11/05/2009  2      0.9    37     6 
12/05/2009  1      2.8    35     7 
13/05/2009  0      10.3   36     5 
14/05/2009  0      8.1    36.5   6 
15/05/2009  0      7.5    33     10 
16/05/2009  0      7.9    36     14 
17/05/2009  0      4      28     15 
18/05/2009  2      0.5    30     15 
19/05/2009  2      2.2    30.5   16 
20/05/2009  0      2.8    27     16 
21/05/2009  0      7.8    32.5   13 
22/05/2009  0      8.9    31     13 
23/05/2009  0      9      32     14 
24/05/2009  0      8.4    33     12 
25/05/2009  0      8.9    33     12 
26/05/2009  0      9.5    33     12 
27/05/2009  0      9.4    35     11 
28/05/2009  0      8.9    36     12 
29/05/2009  0      2.7    37     13 
30/05/2009  0      10.3   37     14 
31/05/2009  0      10.4   36     14 
01/06/2009  0      4.1    34     15 
02/06/2009  0      8.5    36     14 
03/06/2009  0      7      37     14 
04/06/2009  0      9.4    36     16 
05/06/2009  0      7.3    36     16 
06/06/2009  3      0.7    39     16 
07/06/2009  0      12.1   38     18 
08/06/2009  4      14.3   39     18 
09/06/2009  0      17     37.5   19 
10/06/2009  6      5.9    37     19 
11/06/2009  0      11.9   37     16 
12/06/2009  0      6.4    37     16 
13/06/2009  0      9      39     16 
14/06/2009  0      7.6    37     17 
15/06/2009  2      0.6    33     20 
16/06/2009  0      9.9    37     17 
17/06/2009  4      2.3    35     17 
18/06/2009  5      11     32     18 
19/06/2009  0      9.2    29     18 
20/06/2009  12     4.2    33     18 
21/06/2009  2      2.5    32     17 
22/06/2009  0      3.8    33     17 
23/06/2009  0      6.1    33     18 
24/06/2009  0      3.5    32     20 
25/06/2009  0      6.1    33     17 
26/06/2009  0      3.8    31     17 
27/06/2009  11     3.8    31     18 
28/06/2009  5      7.9    32     16 
29/06/2009  1      7.9    30     16 
30/06/2009  2      2.2    31     16 
01/07/2009  0      2.2    32     13 
02/07/2009  0      1.1    33     12 
03/07/2009  3      7.5    29     12 
04/07/2009  6      1.4    33     13 
05/07/2009  0      9.8    29     15 
06/07/2009  3      12     33     15 
07/07/2009  2      3      32     15 
08/07/2009  3      2.1    34     15 
09/07/2009  0      6.2    34     15 
10/07/2009  0      5.9    33     16 
11/07/2009  0      2.8    33     16 
12/07/2009  0      6.3    33     15 
13/07/2009  0      7.3    34     16 
14/07/2009  8      12     34     16 
15/07/2009  5      17     33     16 
16/07/2009  5      11.1   32     16 
17/07/2009  2      5.7    30     16 
18/07/2009  1      3.4    33     16 
19/07/2009  1      3.8    33     14 
20/07/2009  0      4.3    32     15 
21/07/2009  0      3      32     16 
22/07/2009  0      6.2    30     15 
23/07/2009  5      2.2    32     14 
24/07/2009  0      10.8   31     14 
25/07/2009  0      11.2   32     15 
26/07/2009  0      1.5    35     15 
27/07/2009  0      7.8    32     17 
28/07/2009  5      6.8    32     18 
29/07/2009  3      5.8    36     17 
30/07/2009  0      8.8    32     16 
31/07/2009  0      6.7    34     16 
01/08/2009  0      7.3    34     16 
02/08/2009  0      7.7    35     16 
03/08/2009  0      7.3    34     15 
04/08/2009  0      3.7    35.5   15 
05/08/2009  0      9.3    37     16 
06/08/2009  0      15     36     18 
07/08/2009  0      6.2    33     17 
08/08/2009  0      1.8    31     16 
09/08/2009  2      1.3    33     14 
10/08/2009  5      10.3   30     14 
11/08/2009  0      12.9   33     17 
12/08/2009  0      7.7    34     15 
13/08/2009  1      7.3    34     16 
14/08/2009  0      1.6    35     16 
15/08/2009  1      1      36     16 
16/08/2009  1      3.8    35     16 
17/08/2009  0      8.5    33     16 
18/08/2009  3      2.5    33     16 
19/08/2009  0      5.2    31     16 
20/08/2009  1      3.4    29     16 
21/08/2009  0      2.4    31     17 
22/08/2009  3      1.1    31     16 
23/08/2009  3      4      32     16 
24/08/2009  0      10     32     14 
25/08/2009  2      0.7    33     15 
26/08/2009  0      6.8    32     14 
27/08/2009  0      2.9    33     14 
28/08/2009  0      8.1    33     14 
29/08/2009  5      1.1    35     18 
30/08/2009  3      6.5    28     15 
31/08/2009  17     4      26     16 
01/09/2009  1      3.9    30     18 
02/09/2009  0      4.9    31     17 
03/09/2009  0      1.8    29     17 
04/09/2009  0      2.6    28     17 
05/09/2009  0      7.7    31     15 
06/09/2009  0      4.8    29     15 
07/09/2009  13     5.8    32     16 
08/09/2009  0      5.4    31     14 
09/09/2009  2      1      32     17 
10/09/2009  1      3.5    30     18 
11/09/2009  2      1.2    31     17 
12/09/2009  1      5.1    30     15 
13/09/2009  1      3.2    29     15 
14/09/2009  0      1      29     16 
15/09/2009  1      5.5    32     16 
16/09/2009  0      7.3    32     17 
17/09/2009  0      7.3    32     17 
18/09/2009  0      3.2    31     14 
19/09/2009  6      9.2    32     15 
20/09/2009  0      10.2   30     15 
21/09/2009  4      4.4    31     15 
22/09/2009  0      6.4    27.5   16 
23/09/2009  0      5.3    31     16 
24/09/2009  0      4.8    31     16 
25/09/2009  0      4      32     15 
26/09/2009  2      0.3    31     14 
27/09/2009  0      4.8    29     15 
28/09/2009  1      0.7    29     16 
29/09/2009  4      5.8    31     17 
30/09/2009  0      4.6    32     16 
01/10/2009  0      4      31     16 
02/10/2009  0      4.4    33     15 
03/10/2009  0      4.5    38     14 
04/10/2009  0      6.8    33     14 
05/10/2009  0      3.7    34     13 
06/10/2009  0      5.5    36     14 
07/10/2009  0      3      35     14 
08/10/2009  0      1.7    35     17 
09/10/2009  2      2.2    30     17 
10/10/2009  0      3      30     17 
11/10/2009  0      5.7    31     16 
12/10/2009  0      4.2    30     15 
13/10/2009  0      4.4    33     14 
14/10/2009  0      0.1    34     14 
15/10/2009  2      4.5    35     14 
16/10/2009  0      5.3    33     14 
17/10/2009  0      3.3    30     14 
18/10/2009  0      4.2    28     14 
19/10/2009  0      1.7    26     14 
20/10/2009  2      1.3    30     14 
21/10/2009  5      7.6    22     14 
22/10/2009  0      9.2    29     14 
23/10/2009  0      3.4    28     11 
24/10/2009  0      2.3    28     11 
25/10/2009  0      4.4    31     10.2 
26/10/2009  0      2.8    30     9 
27/10/2009  0      4.3    30     9 
28/10/2009  0      5.1    29     10 
29/10/2009  0      4      29     11 
30/10/2009  0      2.5    30     12 
31/10/2009  0      3.9    31     7 
01/11/2009  0      4.7    31.5   7 
02/11/2009  0      3.7    33     6 
03/11/2009  0      2.4    31     6 
04/11/2009  0      3.2    30     6 
05/11/2009  0      3.8    29     5 
06/11/2009  0      3.2    28     5 
07/11/2009  0      2.8    27     6 
08/11/2009  0      3      28     6 
09/11/2009  0      4.6    30     6 
10/11/2009  0      3.2    29     7 
11/11/2009  0      2.5    27     10 
12/11/2009  0      4.4    28     6 
13/11/2009  0      2.3    28     5 
14/11/2009  0      3.3    28     3 
15/11/2009  0      3.3    29     4 
16/11/2009  0      2.3    31     6 
17/11/2009  0      2.7    29     6 
18/11/2009  0      4.4    32     9 
19/11/2009  0      3      28     10 
20/11/2009  0      2.4    29     8 
21/11/2009  0      3.5    26     6 
22/11/2009  0      2.4    29     6 
23/11/2009  0      4      27.5   5 
24/11/2009  0      4.5    28     3 
25/11/2009  0      2.6    29     4 
26/11/2009  0      4.5    27     5 
27/11/2009  1      1.9    22     9 
28/11/2009  0      4      26     10 
29/11/2009  1      3.5    27     9 
30/11/2009  19     9.4    16     9 
01/12/2009  0      13.6   20     12 
02/12/2009  0      2.7    20     1 
03/12/2009  0      2.1    24     0 
04/12/2009  0      2.2    25     1 
05/12/2009  7      5.4    24     1 
06/12/2009  1      8.6    20     2 
07/12/2009  1      2.9    22     7 
08/12/2009  0      2.4    20     14 
09/12/2009  0      2.7    26     7 
10/12/2009  0      3.8    27     6 
11/12/2009  0      1.2    28     5 
12/12/2009  0      2.2    28     6 
13/12/2009  0      2.9    29     5 
14/12/2009  0      1.3    28     6 
15/12/2009  0      6.1    22     6 
16/12/2009  0      3      27     6 
17/12/2009  0      2.7    25     6 
18/12/2009  0      0.7    17     3 
19/12/2009  0      4.4    27     3 
20/12/2009  0      0.7    24     2 
21/12/2009  0      2.8    25     2 
22/12/2009  0      3      24     2 
23/12/2009  0      3.1    22     2 
24/12/2009  0      2.7    24     4 
25/12/2009  0      2.8    22     4 
26/12/2009  0      2.7    22     4 
27/12/2009  0      15.5   24     2 
28/12/2009  0      2.1    25     2 
29/12/2009  0      2      22     2 
30/12/2009  0      2.9    27     11 
31/12/2009  0      3.8    27     6 
01/01/2010  0      1.8    27     5 
02/01/2010  4      10.5   28     5 
03/01/2010  0      6.3    24     8 
04/01/2010  0      2      23     6 
05/01/2010  0      2      23     4 
06/01/2010  0      3.1    24     4 
07/01/2010  0      1.2    21     4 
08/01/2010  0      0.8    22     4 
09/01/2010  0      1.9    24     4 
10/01/2010  0      2.8    24     2 
11/01/2010  0      1.9    24     3 
12/01/2010  0      3.6    24     5 
13/01/2010  0      2      23     7 
14/01/2010  4      2      22     4 
15/01/2010  0      6.8    13     4 
16/01/2010  0      9.3    19     0 
17/01/2010  0      3      21.5   0 
18/01/2010  0      1.5    25     2 
19/01/2010  0      4.4    26     4 
20/01/2010  0      2.4    25     3 
21/01/2010  0      1.6    27     2 
22/01/2010  0      4      27     0 
23/01/2010  0      2.7    26     0 
24/01/2010  0      4.5    27     0 
25/01/2010  0      2      28     2 
26/01/2010  0      3.7    28.5   2 
27/01/2010  0      3.3    27     3 
28/01/2010  0      3.4    26.5   6 
29/01/2010  0      3.5    26     6 
30/01/2010  0      3.2    27     6 
31/01/2010  1      3.8    19     5 
