CNA-SMN-CG-GMC-SMAA-CLIMATOLOGÍA
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A JULIO 2019
 
ESTACIÓN  : 14039
NOMBRE    : CUQUIO
ESTADO    : JALISCO
MUNICIPIO : CUQUIO
SITUACIÓN : OPERANDO
ORGANISMO : CONAGUA-DGE
CVE-OMM   : Nulo
LATITUD   : 0020.928°
LONGITUD  : -103.023°
ALTITUD   : 1,790 msnm
 
EMISIÓN   : 14/08/2019 
 
           PRECIP  EVAP   TMAX   TMIN
08/09/2010  24.5   2      24     17 
09/09/2010  0      3      27     16.5 
10/09/2010  0      3      27     16.5 
11/09/2010  7.5    1.2    25.5   16 
12/09/2010  0      2.8    27     14 
13/09/2010  0      3.2    27.5   14.5 
14/09/2010  0      3.2    28     14 
15/09/2010  1      2.1    28     14 
16/09/2010  0      4.2    29     14.5 
17/09/2010  0      3.2    28     15 
18/09/2010  1      1.9    27     15 
19/09/2010  6      1.4    26     17.5 
20/09/2010  2      2.8    25     17.5 
21/09/2010  27.5   0.8    24.5   17 
22/09/2010  3.5    1.2    25     16 
23/09/2010  23.5   1.1    26     16 
24/09/2010  1      3.2    25     15.5 
25/09/2010  7.5    1.5    25.5   15.5 
26/09/2010  0      1.8    26     16 
27/09/2010  2      3.7    25.5   15 
28/09/2010  0      2.5    26     15.5 
29/09/2010  0      3.1    27     14 
30/09/2010  0      3.3    27.5   10.5 
01/10/2010  0      3.8    25.5   15 
02/10/2010  0      3.3    26     8.5 
03/10/2010  0      2.8    24.5   10.5 
04/10/2010  0      2.6    23.5   10 
05/10/2010  0      3.7    23.5   10 
06/10/2010  0      2.9    25     10 
07/10/2010  0      3.1    24.5   10.5 
08/10/2010  0      3.6    25     10.5 
09/10/2010  0      2.3    26     11 
10/10/2010  0      3.8    27.5   6.5 
11/10/2010  0      2.9    27     7 
12/10/2010  0      3.9    27.5   9.5 
13/10/2010  0      2.8    27     10 
14/10/2010  0      3.5    23     11.5 
15/10/2010  0      3.7    25     7 
16/10/2010  0      3.3    27     6.5 
17/10/2010  0      2.5    27     7 
18/10/2010  0      4.5    27     6 
19/10/2010  0      3.1    26     5.5 
20/10/2010  0      3.8    26     6 
21/10/2010  0      2.5    28.5   7 
22/10/2010  0      3.3    27.5   7 
23/10/2010  0      3.2    30     6.5 
24/10/2010  0      2.8    28.5   7 
25/10/2010  0      3      29     6 
26/10/2010  0      2.8    29     2.5 
27/10/2010  0      3.9    29.5   3 
28/10/2010  0      4.8    29.5   5 
29/10/2010  0      4.7    27.5   9 
30/10/2010  0      4.6    29     8 
31/10/2010  0      3.4    29     9 
01/11/2010  0      4.2    30     10 
02/11/2010  0      5.8    30     8 
03/11/2010  0      5.1    25.5   9 
04/11/2010  0      3.3    23     6 
05/11/2010  0      4.8    24     4 
06/11/2010  0      4.8    25     2.5 
07/11/2010  0      4.4    24     2 
08/11/2010  0      3.7    24     2.5 
09/11/2010  0      3.7    25     0.5 
10/11/2010  0      5.1    25.5   1 
11/11/2010  0      4.5    27     3.5 
12/11/2010  0      3.5    26     5 
13/11/2010  0      3.7    27     3.5 
14/11/2010  0      3.9    25     5 
15/11/2010  0      3.5    23     0 
16/11/2010  0      2.3    25     1 
17/11/2010  0      3.8    26     1.5 
18/11/2010  0      3.2    26.5   4 
19/11/2010  0      4.2    25     8 
20/11/2010  0      3.7    27     6 
21/11/2010  0      2.9    28     6 
22/11/2010  0      4.4    28     5.5 
23/11/2010  0      4.2    29     6 
24/11/2010  0      3.8    28     5.5 
25/11/2010  0      4.5    25.5   5 
26/11/2010  0      4.2    27     2 
27/11/2010  0      5.2    26.5   4.5 
28/11/2010  0      4.2    25     4 
29/11/2010  0      4.6    25     4 
30/11/2010  0      4.2    25     2.5 
01/12/2010  0      4      26     5 
02/12/2010  0      3.9    27.5   4 
03/12/2010  0      2.3    27     5 
04/12/2010  0      2.3    28     5 
05/12/2010  0      3.3    26.5   5.5 
06/12/2010  0      3.9    23     5 
07/12/2010  0      3.5    25     5 
08/12/2010  0      3.8    26.5   3 
09/12/2010  0      4      23     4 
10/12/2010  0      4.6    26    -1 
11/12/2010  0      3.2    26    -1.5 
12/12/2010  0      4.9    27     0 
13/12/2010  0      3.2    26     4.5 
14/12/2010  0      4.8    26     4.5 
15/12/2010  0      3.5    26     0 
16/12/2010  0      3.1    23    -2 
17/12/2010  0      3.7    23.5  -3 
18/12/2010  0      4.1    25.5  -1 
19/12/2010  0      4.5    26.5   1 
20/12/2010  0      3.6    26     2 
21/12/2010  0      3.5    27.5   3 
22/12/2010  0      4.2    28     5 
23/12/2010  0      4.1    26.5   4 
24/12/2010  0      3.8    25     2.5 
25/12/2010  0      3.6    23     4 
26/12/2010  0      2.8    23     6 
27/12/2010  0      3.7    23     3 
28/12/2010  0      2.5    23     2.5 
29/12/2010  0      3      22     3 
30/12/2010  0      4      23     0 
31/12/2010  0      3.3    24    -2 
01/01/2011  0      3.3    24.5   0 
02/01/2011  0      3.6    23.5   5 
03/01/2011  1.2    3.3    25     6 
04/01/2011  0      3.5    26     4.5 
05/01/2011  0      3.3    27     4.5 
06/01/2011  0      3.4    28     6.5 
07/01/2011  0      4.4    28     6.5 
08/01/2011  0      4.5    24     4 
09/01/2011  0      4.7    23.5   2 
10/01/2011  0      4.8    24     1 
11/01/2011  0      4.9    26.5   4 
12/01/2011  0      3.8    25     9 
13/01/2011  0      3.8    24     6.5 
14/01/2011  0      3.8    24     6 
15/01/2011  0      3.4    29     2.5 
16/01/2011  0      3.8    23     2 
17/01/2011  0      3.8    24    -1 
18/01/2011  0      3.9    26.5   0 
19/01/2011  0      4.8    26     0 
20/01/2011  0      4.8    26.5   1 
21/01/2011  0      5.9    25.5   1.5 
22/01/2011  0      5.3    25     2 
23/01/2011  0      5.4    23.5   1 
24/01/2011  0      4.5    24     1 
25/01/2011  0      4      23.5  -1 
26/01/2011  0      3.8    23.5   0 
27/01/2011  0      4.8    25     2 
28/01/2011  0      5.7    26     3 
29/01/2011  0      4.8    24     2.5 
30/01/2011  0      4.5    25.5   2.5 
31/01/2011  0      4.4    25     3.5 
01/02/2011  0      5.6    26.5   3 
02/02/2011  0      5.4    25     4 
03/02/2011  0      3.9    22.5   6 
04/02/2011  0      5.2    24     2.5 
05/02/2011  0      4.8    23     3 
06/02/2011  0      5.7    24.5   3.5 
07/02/2011  0      4      27     3 
08/02/2011  0      4.3    26     4 
09/02/2011  0      6      26     4 
10/02/2011  0      6      26.5   4 
11/02/2011  0      5.1    26.5   4.5 
12/02/2011  0      5.2    28     3 
13/02/2011  0      4.8    27     6 
14/02/2011  0      5.6    29     4 
15/02/2011  0      6.1    30     4 
16/02/2011  0      6.5    30     4.5 
17/02/2011  0      5.8    30     4 
18/02/2011  0      5.8    30.5   4 
19/02/2011  0      6.6    30     4 
20/02/2011  0      5.6    29     4 
21/02/2011  0      5.2    28     4 
22/02/2011  0      4.9    28     5 
23/02/2011  0      4.8    27.5   5.5 
24/02/2011  0      6.9    27     6.5 
25/02/2011  0      5.4    29     4 
26/02/2011  0      6.4    27.5   6 
27/02/2011  0      7.1    28.5   5 
28/02/2011  0      6.7    31     5 
01/03/2011  0      6.6    31     7 
02/03/2011  0      6.8    31     5 
03/03/2011  0      6.2    32     5.5 
04/03/2011  0      6.8    30     5.5 
05/03/2011  0      6.7    29.5   5 
06/03/2011  0      6.3    28.5   6 
07/03/2011  0      7.9    27.5   4 
08/03/2011  0      6.6    28     1 
09/03/2011  0      7      29     2.5 
10/03/2011  0      8      28     5 
11/03/2011  0      5.4    28     9 
12/03/2011  0      6.2    29     5 
13/03/2011  0      6.6    28     7 
14/03/2011  0      6.1    29     7 
15/03/2011  0      6.8    28.5   9 
16/03/2011  0      6.6    29.5   10 
17/03/2011  0      5.7    28     8 
18/03/2011  0      7.2    31     8 
19/03/2011  0      7.2    31.5   8 
20/03/2011  0      7.9    32.5   7 
21/03/2011  0      6.1    32.5   8 
22/03/2011  0      7      33     6 
23/03/2011  0      7.2    32     6.5 
24/03/2011  0      8.6    32.5   7 
25/03/2011  0      8.2    31.5   7 
26/03/2011  0      8.4    30.5   7 
27/03/2011  0      7.9    31.5   4.5 
28/03/2011  0      8.4    31     5 
29/03/2011  0      8.6    31     6 
30/03/2011  0      6.9    30.5   5 
31/03/2011  0      6.9    29     5.5 
01/04/2011  0      8.4    30.5   8.5 
02/04/2011  0      8.9    31     6 
03/04/2011  0      7.5    30.5   6 
04/04/2011  0      7.5    31     6 
05/04/2011  0      7.6    32.5   6 
06/04/2011  0      7.1    32     6.5 
07/04/2011  0      7.8    32     9 
08/04/2011  0      9.1    31     8 
09/04/2011  0      8.6    31.5   8 
10/04/2011  0      9.4    32     9 
11/04/2011  0      10     34.5   8.5 
12/04/2011  0      8.1    32     9 
13/04/2011  0      7.4    32.5   13 
14/04/2011  0      8.9    33     11 
15/04/2011  0      9.7    33.5   11 
16/04/2011  0      8.9    32     13 
17/04/2011  0      9.5    31     11 
18/04/2011  0      9.3    31     11 
19/04/2011  0      9.9    31     8 
20/04/2011  0      9.4    32     8 
21/04/2011  0      8.5    33     8 
22/04/2011  0      9.5    32     9 
23/04/2011  0      9.9    32.5   10 
24/04/2011  0      10     31.5   10 
25/04/2011  0      10.1   31.5   12 
26/04/2011  0      10.8   31     8.5 
27/04/2011  0      9.4    32.5   7 
28/04/2011  0      9.4    34.5   7 
29/04/2011  0      9.6    33     8 
30/04/2011  0      9.6    33     12 
01/05/2011  0      10.2   32.5   11.5 
02/05/2011  0      10.3   33     11 
03/05/2011  5.5    9.7    31     12 
04/05/2011  0      5.8    30     13 
05/05/2011  0      8.6    31     13.5 
06/05/2011  0      8.9    32.5   14 
07/05/2011  0      9.9    32.5   12.5 
08/05/2011  0      7.1    31.5   12.5 
09/05/2011  0      9.1    33     14 
10/05/2011  0      9.3    32.5   12.5 
11/05/2011  0      9.2    32     10 
12/05/2011  0      11.2   32.5   9 
13/05/2011  0      10.6   39.5   8 
14/05/2011  0      10.8   34     8.5 
15/05/2011  0      10.1   34.5   9 
16/05/2011  0      9.7    34     9.5 
17/05/2011  0      9.5    33.5   10 
18/05/2011  0      9.2    32     10 
19/05/2011  0      10.5   32     7 
20/05/2011  0      9.9    32     8 
21/05/2011  0      1.1    33     8.5 
22/05/2011  0      10.2   33.5   10.5 
23/05/2011  0      9.4    34     11 
24/05/2011  0      10.2   35.5   10 
25/05/2011  0      10.6   35     10 
26/05/2011  0      9.3    36     11 
27/05/2011  0      11.6   35.5   13 
28/05/2011  0      8.6    35.5   11.5 
29/05/2011  0      10.7   35.5   15.5 
30/05/2011  7      8.9    34     15 
31/05/2011  0      8.7    34     13 
01/06/2011  0      9.3    32     14 
02/06/2011  0      8.8    33     14 
03/06/2011  0      8.8    33     14 
04/06/2011  0      9      34     12 
05/06/2011  0      10.4   33     12.5 
06/06/2011  0      8.8    32     16 
07/06/2011  0      9.1    33     14 
08/06/2011  0      7.9    34     14 
09/06/2011  0      8.6    31.5   15 
10/06/2011  2.5    8.1    31     15 
11/06/2011  0      6.1    30     15 
12/06/2011  0      9.6    34     15 
13/06/2011  0      7.2    33.5   15 
14/06/2011  0.5    7.7    32     15.5 
15/06/2011  1.5    8.2    31     15.5 
16/06/2011  7      4.2    33     14 
17/06/2011  0      6.8    34     14 
18/06/2011  0      9.6    34     14 
19/06/2011  0      9      34     16.5 
20/06/2011  1.5    9.8    33.5   16 
21/06/2011  3.5    4.7    25     15.5 
22/06/2011  62     1.4    22     14 
23/06/2011  41.5   6.2    27     16 
24/06/2011  9.5    6.2    26.5   14 
25/06/2011  13.5   9.2    30     15 
26/06/2011  10     5.3    27     13.5 
27/06/2011  0.5    2.8    23     15 
28/06/2011  0      6.6    29     16 
29/06/2011  3      7.7    30     16 
30/06/2011  0      4.2    29     17 
01/07/2011  14.3   3.4    24     17 
02/07/2011  12.5   3.2    24.5   17 
03/07/2011  10     2.9    22     16.5 
04/07/2011  6      2.8    23     15 
05/07/2011  1.5    2.6    23.5   16 
06/07/2011  3      6.7    28.5   15 
07/07/2011  0      6.8    28.5   15 
08/07/2011  37.7   5.7    28     16 
09/07/2011  1      3.8    25     15 
10/07/2011  28.5   4.9    25     14.5 
11/07/2011  0      5      27.5   15 
12/07/2011  10     4.5    27     16 
13/07/2011  5.5    2.7    25.5   15.5 
14/07/2011  17.5   6.1    26     15.5 
15/07/2011  1.7    5.6    27     16 
16/07/2011  0      8.8    27     15 
17/07/2011  0.5    4.7    27     15 
18/07/2011  7      5.7    25.5   16 
19/07/2011  2.7    4      27     14 
20/07/2011  0      5.7    25.5   15 
21/07/2011  0      5.8    26     15 
22/07/2011  0      5.8    27.5   14.5 
23/07/2011  0      4.7    27     15 
24/07/2011  2.5    6.9    28     14 
25/07/2011  15.5   7.5    28     14.5 
26/07/2011  0      5.3    25     13.5 
27/07/2011  0      4.6    27     13.5 
28/07/2011  9.7    3.2    27.5   13.5 
29/07/2011  5.7    5.6    27     14 
30/07/2011  14.5   3.8    24     14 
31/07/2011  0      7.2    26     14.5 
01/08/2011  0      6      27.5   14 
02/08/2011  0      5.2    27.5   14.5 
03/08/2011  16     6.7    28     14 
04/08/2011  1.5    2.2    24     14 
05/08/2011  1      5.2    27     15 
06/08/2011  7      5.8    28     14.5 
07/08/2011  1      5.5    25.5   13.5 
08/08/2011  0      4.1    26     14 
09/08/2011  8.2    6.1    26     15 
10/08/2011  1      5.7    27     14 
11/08/2011  0      4.9    28     15.5 
12/08/2011  2      3.2    28     16 
13/08/2011  10.2   6.3    26.5   13 
14/08/2011  1      4.1    26     14 
15/08/2011  0      5      27     15 
16/08/2011  0      8      27.5   15 
17/08/2011  1      6.5    28     15 
18/08/2011  0      5.7    28     13 
19/08/2011  0      4.9    28.5   14 
20/08/2011  2.5    5.7    29     16 
21/08/2011  0      5.5    27.5   15 
22/08/2011  0      7.2    28     14.5 
23/08/2011  26     7      27     15 
24/08/2011  4.5    4.7    26     15 
25/08/2011  1      2.8    28     14 
26/08/2011  0      4.9    25     14 
27/08/2011  76     6.5    27     15 
28/08/2011  1      3.4    26.5   15 
29/08/2011  0      5.9    27     14 
30/08/2011  0      6.1    27     13 
31/08/2011  3.5    2.5    26     13 
01/09/2011  1      3.4    22.5   15 
02/09/2011  0      3.5    26.5   16 
03/09/2011  1      2      22     16 
04/09/2011  18     5.7    25.5   16 
05/09/2011  0      5.2    26     14 
06/09/2011  0      5.7    25.5   13 
07/09/2011  0      4.8    25.5   11 
08/09/2011  0      5.9    25     7 
09/09/2011  0      5.9    25.5   8.5 
10/09/2011  0      4.9    26     8.5 
11/09/2011  0      5.8    27     10.5 
12/09/2011  0      6.1    27     12 
13/09/2011  0      4.9    29     14 
14/09/2011  0      5.2    30     10.5 
15/09/2011  5      3.2    27     12 
16/09/2011  13     5.7    27     16.5 
17/09/2011  0      2.5    27     12.5 
18/09/2011  0      4.4    28.5   14 
19/09/2011  0      4.7    28     15 
20/09/2011  0      4.9    28     14 
21/09/2011  0      5.1    28     13.5 
22/09/2011  0      6.1    28.5   13 
23/09/2011  0      5.1    27     13.5 
24/09/2011  0      2.2    27.5   14 
25/09/2011  9      5      27.5   14.5 
26/09/2011  0      5.4    28     14 
27/09/2011  5.5    4      29.5   14 
28/09/2011  0      5.5    27.5   14.5 
29/09/2011  1      5.3    29.5   12 
30/09/2011  0      6      28.5   12 
01/10/2011  0      5.9    26.5   14 
02/10/2011  0      3.7    28     12 
03/10/2011  0      5.7    29     12 
04/10/2011  0      5.1    29     12 
05/10/2011  0      5.4    30     12 
06/10/2011  0      4.7    30.5   13.5 
07/10/2011  0      5.8    29     11.5 
08/10/2011  0      3.9    28     12 
09/10/2011  0      1.9    25     12.5 
10/10/2011  26     2.2    22     14.5 
11/10/2011  10.5   1.5    21     14 
12/10/2011  26.5   1.6    15.5   15 
13/10/2011  5      0.8    19     13.5 
14/10/2011  0      5.2    26     12 
15/10/2011  0      4.4    27     11 
16/10/2011  0      5      27     9.5 
17/10/2011  0      5.2    29     9.5 
18/10/2011  0      5.9    29     7 
19/10/2011  0      4.2    27.5   8 
20/10/2011  0      4.5    28     8 
21/10/2011  0      5.2    28.5   8 
22/10/2011  0      4.9    28     7 
23/10/2011  0      5.4    28     7 
24/10/2011  0      5.6    27     8 
25/10/2011  0      5.6    27     8 
26/10/2011  0      4.3    28     3 
27/10/2011  0      5      27.5   5 
28/10/2011  0      3.3    28.5   11 
29/10/2011  0      4.2    28     11.5 
30/10/2011  0      4      28     8 
31/10/2011  0      6.2    28     9 
01/11/2011  0      4.9    27     7.5 
02/11/2011  0      4.2    25.5   4.5 
03/11/2011  0      4.6    28     8 
04/11/2011  0      3.1    27.5   9 
05/11/2011  0      3.8    27     7 
06/11/2011  0      4.1    27.5   7.5 
07/11/2011  0      3.2    28     6.5 
08/11/2011  0      5.8    27     7 
09/11/2011  0      3.7    27     6 
10/11/2011  0      3.8    26     6 
11/11/2011  0      3.8    24.5   5.5 
12/11/2011  0      5.6    25     5.5 
13/11/2011  0      4.1    25     5 
14/11/2011  0      4.8    25     4.5 
15/11/2011  0      3.9    24     4.5 
16/11/2011  0      4.2    27     4 
17/11/2011  0      4      27     5.5 
18/11/2011  0      4.2    26.5   10 
19/11/2011  0      3.4    27.5   7 
20/11/2011  0      3.5    29     7 
21/11/2011  0      2.8    27.5   9 
22/11/2011  0      4.8    30     7 
23/11/2011  0      5      28     8 
24/11/2011  0      4.2    28.5   7 
25/11/2011  0      4.1    27     6 
26/11/2011  0      4.1    25     5 
27/11/2011  0      5.6    12     6 
28/11/2011  0      4.1    21.5   1 
29/11/2011  0      3.3    24     1.5 
30/11/2011  0      4.6    26     2.5 
01/12/2011  0      4.4    25.5   2 
02/12/2011  0      3.3    27     4 
03/12/2011  0      4.4    26.5   4 
04/12/2011  0      4.5    26     3 
05/12/2011  0      4.2    26     3 
06/12/2011  0      3.7    25     4 
07/12/2011  0      4.7    27     6 
08/12/2011  0      2.3    25     4 
09/12/2011  0      3.8    25     4.5 
10/12/2011  0      3.8    26.5   5 
11/12/2011  0      3.7    25.5   5.5 
12/12/2011  0      2.3    25     5.5 
13/12/2011  0      3      26.5   4.5 
14/12/2011  0      3.9    25.5   5 
15/12/2011  0      3.3    26     4 
16/12/2011  0      4.2    27     4 
17/12/2011  0      3.7    26     8 
18/12/2011  0      3.6    26.5   8 
19/12/2011  0      4.8    26     7 
20/12/2011  0      4.2    24     3.5 
21/12/2011  0      3.6    24     2 
22/12/2011  0      3      24     4 
23/12/2011  0      4.2    26     4 
24/12/2011  0      3.8    26     4 
25/12/2011  0      5.1    26.5   3.5 
26/12/2011  0      4.9    25     5.5 
27/12/2011  0      4.2    26     7 
28/12/2011  0      4.9    27     7 
29/12/2011  0      4.3    26.5   4 
30/12/2011  0      4.2    27     5 
31/12/2011  0      5.2    27     7 
01/01/2012  0      3.7    27     8 
02/01/2012  0      4.8    24     9 
03/01/2012  0      3      21     5 
04/01/2012  0      2.8    23.5   6 
05/01/2012  0      4      24     2.5 
06/01/2012  0      4.5    22     4 
07/01/2012  0      3.4    24     0.5 
08/01/2012  0      4      24     3 
09/01/2012  0      2.7    22     1.5 
10/01/2012  0      4      23     4 
11/01/2012  0      4.4    25     1.5 
12/01/2012  0      4.9    25.5   1 
13/01/2012  0      4.8    26     3.5 
14/01/2012  0      2.9    21     7 
15/01/2012  0      5.4    27     8 
16/01/2012  0      5.1    27.5   5 
17/01/2012  0      3.6    27     4 
18/01/2012  0      4.5    27.5   7 
19/01/2012  0      3.4    28.5   6.5 
20/01/2012  0      4.4    27     3 
21/01/2012  0      3.7    28     2.5 
