GENERADO-TT-2019-B082
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A NOVIEMBRE 2020
 
ESTACIÓN  : 15018
NOMBRE    : SANTA MARIA DEL ORO
ESTADO    : JALISCO
MUNICIPIO :  SANTA MARIA DEL ORO
SITUACIÓN : -------
ORGANISMO : TT-2019-B082
CVE-OMM   : Nulo
LATITUD   :  19.525°
LONGITUD  :  -102.815°
ALTITUD   : ----------
 
EMISIÓN   : 11/11/2020 
 
					           PRECIP  EVAP   TMAX   TMIN
  FECHA   					   mm     mm     °C     °C 
01/01/2008    0.0    3.9    16.0    5.4
02/01/2008    0.0    2.7    12.6    4.8
03/01/2008    0.0    2.9    12.8    1.2
04/01/2008    0.0    4.0    15.3    1.7
05/01/2008    0.0    3.6    15.2    2.7
06/01/2008    0.0    2.7    14.9    3.9
07/01/2008    0.0    3.0    12.4    4.2
08/01/2008    0.0    5.3    12.1    1.3
09/01/2008    0.0    2.8    12.2    1.5
10/01/2008    0.0    4.5    13.1    1.7
11/01/2008    0.0    3.8    12.2    2.1
12/01/2008    0.0    3.5    12.8    1.1
13/01/2008    0.0    3.6    14.7    2.1
14/01/2008    0.0    2.8    14.4    2.7
15/01/2008    0.0    2.7    13.4    3.6
16/01/2008    0.0    3.9    13.1    2.4
17/01/2008    0.0    3.0    15.2    2.5
18/01/2008    0.0    2.9    15.4    2.7
19/01/2008    0.0    3.3    14.8    4.7
20/01/2008    0.0    3.0    14.7    4.0
21/01/2008    0.0    3.6    16.2    4.0
22/01/2008    0.0    2.9    15.6    5.0
23/01/2008    0.0    3.9    15.2    5.0
24/01/2008    0.0    3.4    15.3    4.9
25/01/2008    0.0    3.4    14.8    5.0
26/01/2008    0.0    4.2    17.0    4.5
27/01/2008    0.0    4.3    16.9    5.6
28/01/2008    0.0    2.9    16.9    4.7
29/01/2008    0.0    5.5    17.0    5.7
30/01/2008    0.0    4.7    14.8    6.5
31/01/2008    0.0    4.9    14.6    3.1
01/02/2008    0.0    3.3    20.2    5.9
02/02/2008    0.0    4.5    20.0    5.7
03/02/2008    0.0    5.1    20.1    5.5
04/02/2008    0.0    4.3    19.5    5.8
05/02/2008    0.0    3.7    19.2    5.1
06/02/2008    0.0    2.8    19.4    4.9
07/02/2008    0.0    3.9    21.1    4.8
08/02/2008    0.0    5.7    21.1    5.5
09/02/2008    0.0    3.8    21.2    6.9
10/02/2008    0.0    3.5    21.4    7.1
11/02/2008    0.0    6.1    21.5    7.1
12/02/2008    0.0    3.9    21.1    7.3
13/02/2008    0.0    5.8    19.1    6.4
14/02/2008    0.0    5.4    19.1    4.2
15/02/2008    0.0    4.7    20.8    3.6
16/02/2008    0.0    4.5    19.8    4.5
17/02/2008    0.0    6.2    19.3    4.0
18/02/2008    0.0    5.0    19.2    3.5
19/02/2008    0.0    4.6    20.0    3.6
20/02/2008    0.0    4.6    20.5    3.7
21/02/2008    0.0    4.1    20.0    4.4
22/02/2008    0.0    4.7    20.9    4.7
23/02/2008    0.0    5.4    23.1    4.5
24/02/2008    0.0    5.4    23.6    5.5
25/02/2008    0.0    5.0    21.4    7.1
26/02/2008    0.0    5.8    21.5    5.5
27/02/2008    0.0    5.8    21.1    5.5
28/02/2008    0.0    4.0    21.3    5.8
29/02/2008    0.0    4.9    21.5    6.2
01/03/2008    0.0    4.7    22.2    7.2
02/03/2008    0.0    6.7    21.3    7.5
03/03/2008    0.0    5.4    23.4    6.8
04/03/2008    0.0    4.6    21.4    7.8
05/03/2008    0.0    5.8    21.1    8.2
06/03/2008    0.0    6.9    19.7    3.8
07/03/2008    0.0    5.7    19.5    2.8
08/03/2008    0.0    5.1    20.6    3.2
09/03/2008    0.0    4.9    20.7    4.0
10/03/2008    0.0    4.6    22.1    5.5
11/03/2008    0.0    4.6    22.6    6.7
12/03/2008    0.0    6.0    22.7    7.5
13/03/2008    0.0    4.7    21.1    7.7
14/03/2008    0.0    6.9    21.2    6.1
15/03/2008    0.0    5.8    21.5    5.3
16/03/2008    0.0    6.1    21.6    6.1
17/03/2008    0.0    6.3    22.1    6.8
18/03/2008    0.0    4.7    20.4    7.3
19/03/2008    0.0    6.4    23.3    6.5
20/03/2008    0.0    6.3    23.9    7.6
21/03/2008    0.0    6.4    24.9    9.0
22/03/2008    0.0    5.4    24.8    10.2
23/03/2008    0.0    4.7    23.3    9.5
24/03/2008    0.0    3.9    23.0    8.6
25/03/2008    0.0    4.6    24.6    8.7
26/03/2008    0.0    6.1    25.3    9.4
27/03/2008    0.0    5.7    25.1    9.9
28/03/2008    0.0    5.8    23.7    10.4
29/03/2008    0.0    4.8    23.7    8.6
30/03/2008    0.0    6.7    24.2    8.5
31/03/2008    0.0    5.6    24.8    8.6
01/04/2008    0.0    5.8    25.3    9.4
02/04/2008    0.0    6.0    26.8    9.8
03/04/2008    0.0    6.6    26.6    10.6
04/04/2008    0.0    6.5    27.2    10.8
05/04/2008    0.0    4.5    25.4    11.9
06/04/2008    0.0    4.6    25.4    11.6
07/04/2008    0.0    5.1    25.4    11.1
08/04/2008    0.0    6.4    23.6    10.3
09/04/2008    0.0    7.0    23.1    8.8
10/04/2008    0.0    6.8    24.2    7.6
11/04/2008    0.0    6.3    24.8    8.1
12/04/2008    0.0    5.5    24.9    10.0
13/04/2008    2.3    6.6    27.8    10.6
14/04/2008    0.0    5.7    26.2    10.2
15/04/2008    0.0    5.5    26.1    15.2
16/04/2008    0.7    4.8    24.6    13.6
17/04/2008    0.0    8.2    23.9    10.8
18/04/2008    0.0    6.4    25.5    9.3
19/04/2008    0.0    7.6    25.8    9.6
20/04/2008    0.0    7.1    25.7    11.1
21/04/2008    0.0    5.5    26.2    11.2
22/04/2008    0.0    6.2    26.2    10.7
23/04/2008    0.0    6.6    27.7    11.2
24/04/2008    0.0    6.9    25.2    11.4
25/04/2008    0.0    7.4    26.3    10.4
26/04/2008    0.0    7.4    26.0    10.9
27/04/2008    0.0    4.6    26.2    11.6
28/04/2008    0.0    8.8    25.7    12.0
29/04/2008    0.0    7.4    24.5    11.5
30/04/2008    0.0    6.8    24.6    11.4
01/05/2008    0.0    7.6    25.1    10.4
02/05/2008    0.0    9.2    24.8    10.3
03/05/2008    0.0    6.3    25.7    10.4
04/05/2008    0.0    6.6    26.9    10.7
05/05/2008    0.0    5.5    26.6    11.5
06/05/2008    0.0    7.0    26.8    13.2
07/05/2008    0.0    6.4    25.9    13.7
08/05/2008    0.0    6.2    27.4    13.6
09/05/2008    0.0    7.1    27.4    14.0
10/05/2008    0.0    5.1    28.3    14.2
11/05/2008    0.0    6.3    28.2    15.2
12/05/2008    0.0    6.6    28.2    15.3
13/05/2008    0.0    6.8    27.0    14.7
14/05/2008    0.0    8.4    28.9    13.7
15/05/2008    0.0    5.1    28.1    14.0
16/05/2008    0.0    7.1    27.0    15.0
17/05/2008    0.0    7.0    26.6    13.6
18/05/2008    0.0    6.6    26.6    13.1
19/05/2008    0.0    6.2    26.4    13.4
20/05/2008    0.7    6.5    28.0    13.1
21/05/2008    0.0    6.0    27.0    14.1
22/05/2008    0.0    6.4    23.7    14.9
23/05/2008    0.0    5.8    24.7    10.5
24/05/2008    0.0    7.3    26.9    10.7
25/05/2008    0.0    6.0    27.7    11.1
26/05/2008    0.0    6.2    28.1    13.7
27/05/2008    0.1    4.8    27.9    14.7
28/05/2008    0.0    4.6    27.5    14.8
29/05/2008    0.0    7.8    28.1    16.2
30/05/2008    0.1    6.8    29.7    16.3
31/05/2008    0.1    5.9    29.8    16.8
01/06/2008    0.0    6.5    28.5    15.9
02/06/2008    0.0    6.8    28.0    16.3
03/06/2008    0.0    7.6    28.6    15.6
04/06/2008    0.0    4.8    27.9    16.0
05/06/2008    0.0    5.8    26.8    15.7
06/06/2008    0.6    7.2    27.7    14.9
07/06/2008    22.8    8.7    27.8    14.7
08/06/2008    16.2    5.2    26.9    15.5
09/06/2008    22.9    7.9    25.3    16.5
10/06/2008    12.4    6.3    24.2    16.3
11/06/2008    1.1    4.4    24.6    15.7
12/06/2008    2.6    3.7    24.0    15.8
13/06/2008    2.8    3.0    24.6    16.0
14/06/2008    8.1    6.9    23.4    15.8
15/06/2008    15.9    8.1    25.6    15.5
16/06/2008    2.0    3.4    25.0    16.0
17/06/2008    5.5    3.0    25.8    15.6
18/06/2008    1.0    8.2    26.7    15.9
19/06/2008    4.8    3.4    27.1    15.7
20/06/2008    5.8    5.5    26.9    16.3
21/06/2008    0.5    3.5    26.6    16.7
22/06/2008    16.9    2.1    25.3    16.6
23/06/2008    5.7    2.7    26.1    15.6
24/06/2008    23.8    3.7    25.2    15.8
25/06/2008    0.1    5.4    25.0    14.8
26/06/2008    0.6    4.2    27.2    14.9
27/06/2008    4.7    4.9    26.8    15.1
28/06/2008    10.4    4.9    27.6    16.4
29/06/2008    19.2    3.1    26.8    16.1
30/06/2008    12.8    3.9    26.9    16.6
01/07/2008    1.2    3.0    23.5    15.9
02/07/2008    0.0    4.1    25.1    15.5
03/07/2008    2.5    3.2    25.1    15.6
04/07/2008    12.2    4.5    25.4    15.4
05/07/2008    9.5    4.8    25.7    15.5
06/07/2008    45.8    5.9    26.6    16.0
07/07/2008    23.6    5.0    24.0    16.0
08/07/2008    13.3    7.0    24.0    15.4
09/07/2008    4.7    5.5    22.5    15.9
10/07/2008    11.9    7.3    24.8    15.2
11/07/2008    8.2    6.6    24.7    15.1
12/07/2008    6.6    3.1    25.2    15.0
13/07/2008    11.3    10.3    25.2    14.8
14/07/2008    1.4    3.9    25.5    14.9
15/07/2008    11.8    4.2    26.4    15.0
16/07/2008    12.4    8.0    26.3    14.7
17/07/2008    9.7    8.8    24.3    15.2
18/07/2008    0.0    3.1    24.2    13.6
19/07/2008    3.5    5.1    24.9    13.8
20/07/2008    3.8    4.7    24.9    14.0
21/07/2008    5.0    4.3    25.5    14.0
22/07/2008    4.7    4.6    26.6    14.5
23/07/2008    0.0    3.0    26.2    15.6
24/07/2008    23.0    7.2    26.5    15.9
25/07/2008    10.9    6.7    25.0    15.6
26/07/2008    9.3    5.3    25.7    15.4
27/07/2008    3.9    6.2    25.6    15.2
28/07/2008    2.2    5.0    26.0    14.8
29/07/2008    10.2    4.3    25.2    14.6
30/07/2008    6.7    6.3    24.6    13.7
31/07/2008    0.8    7.9    24.1    13.8
01/08/2008    2.2    6.5    26.6    13.8
02/08/2008    2.5    1.9    24.9    14.5
03/08/2008    0.0    3.0    25.0    16.1
04/08/2008    24.4    3.9    24.7    15.2
05/08/2008    8.4    5.9    26.1    15.5
06/08/2008    19.5    4.1    24.2    15.5
07/08/2008    3.5    1.8    23.5    15.0
08/08/2008    0.5    3.5    22.9    14.6
09/08/2008    2.3    3.0    25.2    14.0
10/08/2008    1.1    2.7    24.7    13.9
11/08/2008    2.9    1.6    25.4    13.7
12/08/2008    4.2    2.2    24.6    15.6
13/08/2008    1.1    2.7    25.6    15.0
14/08/2008    11.4    4.4    25.4    15.0
15/08/2008    1.9    4.6    25.6    15.2
16/08/2008    19.1    3.2    25.2    15.5
17/08/2008    45.9    2.6    25.4    15.6
18/08/2008    4.9    1.5    26.4    15.5
19/08/2008    28.5    2.8    24.9    15.9
20/08/2008    9.7    3.0    24.6    15.4
21/08/2008    11.3    3.2    25.0    15.4
22/08/2008    12.0    2.2    25.5    15.0
23/08/2008    4.0    3.2    24.6    15.6
24/08/2008    0.0    3.2    25.7    15.3
25/08/2008    7.7    2.4    25.1    15.3
26/08/2008    3.2    2.3    23.7    15.9
27/08/2008    3.4    2.8    24.8    16.0
28/08/2008    2.6    2.9    25.5    15.7
29/08/2008    20.2    1.8    25.2    15.9
30/08/2008    0.0    2.9    25.1    15.5
31/08/2008    0.0    2.5    25.0    15.5
01/09/2008    17.8    1.6    26.2    15.7
02/09/2008    8.5    2.7    26.4    16.0
03/09/2008    8.3    7.1    25.8    16.3
04/09/2008    0.4    7.4    25.3    16.3
05/09/2008    5.1    6.5    27.0    16.0
06/09/2008    3.0    2.0    26.3    16.3
07/09/2008    11.7    5.9    23.9    16.3
08/09/2008    9.8    6.5    24.8    15.9
09/09/2008    20.3    8.4    24.4    15.9
10/09/2008    19.6    9.0    25.1    17.1
11/09/2008    8.9    6.1    25.0    17.2
12/09/2008    7.9    6.2    26.0    16.7
13/09/2008    17.8    6.9    24.7    16.8
14/09/2008    7.2    4.8    24.6    15.5
15/09/2008    9.6    4.4    23.8    15.8
16/09/2008    1.7    2.9    24.3    15.3
17/09/2008    2.2    3.9    26.0    14.2
18/09/2008    1.8    3.5    25.9    14.4
19/09/2008    4.1    4.5    26.0    15.3
20/09/2008    3.6    2.8    24.9    15.9
21/09/2008    12.5    2.4    24.9    15.0
22/09/2008    7.3    1.1    24.3    15.0
23/09/2008    16.7    7.0    24.3    15.7
24/09/2008    6.0    8.3    25.3    15.4
25/09/2008    0.1    7.9    25.5    15.9
26/09/2008    0.0    3.8    24.8    15.2
27/09/2008    15.9    3.8    24.9    14.5
28/09/2008    5.1    3.5    25.2    14.7
29/09/2008    0.0    3.7    25.0    14.0
30/09/2008    0.0    4.4    25.6    13.4
01/10/2008    0.0    3.7    25.0    13.3
02/10/2008    0.0    2.7    25.2    12.6
03/10/2008    0.0    3.7    26.2    13.2
04/10/2008    0.0    3.2    26.0    14.1
05/10/2008    0.0    3.0    25.1    14.4
06/10/2008    0.0    2.6    24.4    15.5
07/10/2008    4.9    3.7    26.0    16.1
08/10/2008    5.0    3.7    25.4    16.0
09/10/2008    4.6    2.5    23.1    15.9
10/10/2008    0.9    1.4    24.8    15.3
11/10/2008    32.8    5.2    22.4    16.8
12/10/2008    0.1    3.3    24.6    16.1
13/10/2008    6.0    2.6    25.6    16.3
14/10/2008    0.8    2.4    24.3    16.3
15/10/2008    1.0    3.9    25.2    14.7
16/10/2008    0.0    3.2    25.9    14.7
17/10/2008    0.0    6.4    24.9    15.3
18/10/2008    0.0    4.8    23.6    14.7
19/10/2008    2.3    3.0    23.9    13.9
20/10/2008    0.0    5.0    25.5    12.5
21/10/2008    0.0    6.2    26.4    13.4
22/10/2008    6.6    4.8    26.0    15.9
23/10/2008    0.0    2.8    23.9    14.5
24/10/2008    1.4    1.5    19.7    13.5
25/10/2008    0.0    2.0    22.2    13.5
26/10/2008    0.0    2.9    23.4    13.1
27/10/2008    0.2    2.6    22.9    12.8
28/10/2008    0.0    3.1    22.3    12.9
29/10/2008    0.0    2.0    23.0    12.6
30/10/2008    0.0    4.7    22.8    11.8
31/10/2008    0.0    4.9    22.8    11.5
01/11/2008    0.0    3.8    23.3    10.3
02/11/2008    0.0    3.3    23.9    10.4
03/11/2008    0.0    3.0    23.8    11.1
04/11/2008    0.0    2.6    23.5    10.9
05/11/2008    0.0    2.5    25.0    11.8
06/11/2008    0.0    4.3    25.3    13.0
07/11/2008    0.0    4.0    22.9    13.2
08/11/2008    0.0    3.4    24.0    10.6
09/11/2008    0.0    2.5    22.2    11.2
10/11/2008    0.0    3.3    22.2    10.3
11/11/2008    0.0    3.1    22.4    8.8
12/11/2008    0.0    2.8    21.8    8.3
13/11/2008    0.0    2.8    20.3    8.5
14/11/2008    0.0    3.7    20.4    7.4
15/11/2008    0.0    3.0    21.7    6.7
16/11/2008    0.0    2.7    20.8    7.3
17/11/2008    0.0    2.5    20.3    6.7
18/11/2008    0.0    2.2    20.9    6.2
19/11/2008    0.0    3.3    20.4    6.1
20/11/2008    0.0    2.2    21.8    7.0
21/11/2008    0.0    3.0    20.8    7.1
22/11/2008    0.0    2.1    20.8    6.8
23/11/2008    0.0    2.3    21.2    7.0
24/11/2008    0.0    5.5    22.1    7.1
25/11/2008    0.0    2.6    22.0    7.6
26/11/2008    0.0    2.7    22.1    7.8
27/11/2008    0.0    2.6    21.3    8.4
28/11/2008    0.0    2.2    21.5    8.0
29/11/2008    0.0    2.3    20.3    7.9
30/11/2008    0.0    2.5    20.3    7.3
01/12/2008    0.0    3.4    20.2    7.2
02/12/2008    0.0    4.4    20.2    6.0
03/12/2008    0.0    2.9    19.6    6.1
04/12/2008    0.0    3.1    19.2    5.0
05/12/2008    0.0    2.9    19.7    4.3
06/12/2008    0.0    2.6    20.1    4.5
07/12/2008    0.0    3.0    20.5    4.8
08/12/2008    0.0    2.4    20.7    5.7
09/12/2008    0.0    2.5    20.1    6.5
10/12/2008    0.0    2.6    21.0    6.3
11/12/2008    0.0    2.1    19.5    6.5
12/12/2008    0.0    2.4    19.2    5.3
13/12/2008    0.0    2.6    18.5    3.2
14/12/2008    0.0    3.1    18.7    3.7
15/12/2008    0.0    2.8    20.5    3.4
16/12/2008    0.0    2.1    19.7    3.9
17/12/2008    0.0    2.8    20.4    5.2
18/12/2008    0.0    2.7    20.4    5.7
19/12/2008    0.0    2.3    19.8    5.4
20/12/2008    0.0    2.6    22.8    5.7
21/12/2008    0.0    2.9    21.4    6.8
22/12/2008    0.0    1.9    20.2    7.4
23/12/2008    0.0    2.0    19.8    8.1
24/12/2008    0.0    2.1    20.4    6.5
25/12/2008    0.0    3.0    19.1    5.8
26/12/2008    0.0    3.2    18.6    4.5
27/12/2008    0.0    2.2    18.2    4.0
28/12/2008    0.0    3.4    19.1    3.9
29/12/2008    0.0    2.0    19.5    4.8
30/12/2008    0.0    2.6    18.9    5.2
31/12/2008    0.0    4.8    19.9    5.3
01/01/2009    0.0    2.6    19.6    5.9
02/01/2009    0.0    2.7    19.7    5.9
03/01/2009    0.0    2.7    18.3    5.8
04/01/2009    0.0    2.5    19.2    5.3
05/01/2009    0.0    3.0    20.1    5.4
06/01/2009    0.0    3.2    19.5    5.3
07/01/2009    0.0    3.3    20.3    5.9
08/01/2009    0.0    2.5    19.7    5.7
09/01/2009    0.0    2.7    20.4    5.0
10/01/2009    0.0    2.4    19.9    5.6
11/01/2009    0.0    3.6    20.1    5.5
12/01/2009    0.0    2.1    18.9    6.2
13/01/2009    0.0    3.0    18.3    5.4
14/01/2009    0.0    2.0    19.7    5.3
15/01/2009    8.7    2.5    18.8    5.9
16/01/2009    0.0    3.1    19.3    6.4
17/01/2009    0.0    3.0    20.0    6.4
18/01/2009    0.0    2.1    19.1    6.4
19/01/2009    0.0    2.5    19.5    5.3
20/01/2009    0.0    2.9    23.7    5.6
21/01/2009    0.1    3.9    20.6    6.2
22/01/2009    0.0    2.5    19.9    7.6
23/01/2009    0.0    2.2    19.9    7.2
24/01/2009    0.0    3.0    20.9    6.7
25/01/2009    0.0    2.1    20.3    6.8
26/01/2009    0.0    3.1    19.0    7.7
27/01/2009    0.0    2.7    18.9    6.1
28/01/2009    0.0    3.5    21.3    5.5
29/01/2009    0.0    3.1    20.1    6.3
30/01/2009    0.0    3.3    20.1    6.4
31/01/2009    0.0    3.1    19.6    5.7
01/02/2009    0.0    3.1    19.8    5.9
02/02/2009    0.0    3.0    20.2    5.6
03/02/2009    0.0    3.9    20.4    5.8
04/02/2009    0.0    3.9    21.1    5.9
05/02/2009    0.0    4.0    19.8    6.6
06/02/2009    0.0    3.7    20.1    5.9
07/02/2009    0.0    3.4    20.4    4.3
08/02/2009    0.0    3.5    19.7    5.4
09/02/2009    0.0    4.9    19.8    5.9
10/02/2009    0.0    3.9    20.3    6.2
11/02/2009    0.0    3.1    21.6    6.3
12/02/2009    0.0    4.4    21.2    6.4
13/02/2009    0.0    4.2    21.7    6.7
14/02/2009    0.0    4.2    21.9    7.3
15/02/2009    0.0    3.9    22.2    7.5
16/02/2009    0.0    3.3    22.7    7.6
17/02/2009    0.0    3.3    23.0    8.5
18/02/2009    0.0    4.0    23.1    8.1
19/02/2009    0.0    3.9    24.1    7.9
20/02/2009    0.0    3.9    22.9    7.9
21/02/2009    0.0    3.8    23.8    8.3
22/02/2009    0.0    5.3    24.2    8.5
23/02/2009    0.0    4.0    23.2    9.1
24/02/2009    0.0    4.6    23.9    7.7
25/02/2009    0.0    4.0    24.3    7.2
26/02/2009    0.0    5.3    25.7    8.3
27/02/2009    0.0    3.0    23.7    8.8
28/02/2009    0.0    3.8    24.8    8.9
01/03/2009    0.0    4.7    24.5    9.0
02/03/2009    0.0    4.1    24.8    8.3
03/03/2009    0.0    4.9    25.1    8.8
04/03/2009    0.0    3.6    25.0    8.8
05/03/2009    0.0    4.6    24.1    9.4
06/03/2009    0.0    4.1    23.9    9.1
07/03/2009    0.0    7.9    24.0    8.8
08/03/2009    0.0    5.3    23.4    9.1
09/03/2009    0.0    5.7    22.8    8.1
10/03/2009    0.0    4.1    22.4    7.9
11/03/2009    0.0    4.3    22.9    8.8
12/03/2009    0.0    4.5    23.3    8.6
13/03/2009    0.0    4.7    22.5    9.0
14/03/2009    0.0    4.2    22.7    8.9
15/03/2009    0.0    5.0    22.4    8.7
16/03/2009    0.0    5.4    23.2    8.3
17/03/2009    0.0    4.5    23.8    8.6
18/03/2009    0.0    5.0    24.2    9.8
19/03/2009    0.0    5.3    24.8    10.4
20/03/2009    0.0    5.5    24.6    10.0
21/03/2009    0.0    5.2    24.2    10.1
22/03/2009    0.0    5.4    24.7    10.0
23/03/2009    0.2    5.3    25.0    10.5
24/03/2009    0.5    5.8    25.3    11.6
25/03/2009    0.0    5.6    25.8    12.3
26/03/2009    0.0    4.4    29.0    11.3
27/03/2009    0.0    6.0    22.8    9.0
28/03/2009    0.0    4.3    22.6    8.9
29/03/2009    0.0    6.1    22.6    8.3
30/03/2009    0.0    5.3    22.8    7.4
31/03/2009    0.0    6.5    23.5    7.5
01/04/2009    0.0    5.6    22.0    7.6
02/04/2009    0.0    4.5    23.9    7.5
03/04/2009    0.0    5.0    24.2    8.0
04/04/2009    0.0    5.1    24.9    9.9
05/04/2009    0.0    4.4    26.0    10.4
06/04/2009    0.0    6.8    26.0    10.6
07/04/2009    0.0    6.1    24.6    11.4
08/04/2009    0.0    6.1    24.8    9.3
09/04/2009    0.0    5.7    24.6    9.4
10/04/2009    0.0    6.2    23.9    9.6
11/04/2009    0.0    5.7    24.2    8.4
12/04/2009    0.0    5.1    24.8    8.8
13/04/2009    0.0    5.4    24.8    9.5
14/04/2009    0.0    6.1    24.6    9.8
15/04/2009    0.0    5.3    25.3    9.8
16/04/2009    0.0    5.2    25.5    10.3
17/04/2009    0.0    6.2    24.7    10.2
18/04/2009    0.0    5.6    24.1    9.5
19/04/2009    0.0    4.8    24.3    9.7
20/04/2009    0.3    5.4    24.8    9.3
21/04/2009    0.0    5.9    26.0    9.5
22/04/2009    0.0    5.7    25.5    10.6
23/04/2009    0.0    6.0    25.2    11.6
24/04/2009    0.0    5.8    26.7    10.1
25/04/2009    0.0    5.8    24.3    10.6
26/04/2009    0.0    5.8    24.2    9.8
27/04/2009    0.0    6.0    23.9    9.8
28/04/2009    0.0    6.0    25.5    9.8
29/04/2009    0.0    5.9    25.6    9.9
30/04/2009    0.0    6.5    25.2    10.4
01/05/2009    0.0    4.3    24.6    10.2
02/05/2009    0.0    5.4    24.9    10.2
03/05/2009    0.0    3.8    24.8    10.2
04/05/2009    0.0    5.1    26.5    11.0
05/05/2009    0.0    5.2    25.8    11.6
06/05/2009    0.0    3.5    25.5    12.7
07/05/2009    0.4    4.7    26.2    12.5
08/05/2009    0.0    5.8    29.6    12.5
09/05/2009    0.0    5.5    25.6    13.3
10/05/2009    0.2    5.0    26.1    12.6
11/05/2009    0.3    5.4    26.8    12.9
12/05/2009    0.0    4.7    27.0    13.7
13/05/2009    0.6    4.8    27.5    14.5
14/05/2009    0.3    5.3    27.9    14.7
15/05/2009    5.4    3.7    27.6    15.0
16/05/2009    3.4    5.5    27.6    16.0
17/05/2009    16.1    5.9    26.7    15.7
18/05/2009    2.5    4.1    26.2    14.7
19/05/2009    11.7    2.6    27.9    15.1
20/05/2009    8.3    4.6    25.0    15.7
21/05/2009    17.5    5.2    25.7    15.8
22/05/2009    0.4    5.6    25.4    15.1
23/05/2009    0.0    3.9    26.0    14.1
24/05/2009    0.0    5.4    27.3    14.4
25/05/2009    0.0    4.4    31.5    14.8
26/05/2009    0.0    5.1    29.9    13.2
27/05/2009    0.0    5.8    27.8    14.2
28/05/2009    0.0    7.0    28.0    14.6
29/05/2009    0.0    5.4    27.0    14.2
30/05/2009    0.0    5.3    27.1    13.1
31/05/2009    19.0    5.3    27.1    13.8
01/06/2009    0.0    5.0    27.6    14.0
02/06/2009    5.0    3.7    27.2    15.0
03/06/2009    2.7    4.9    27.8    14.8
04/06/2009    0.7    5.2    27.3    14.2
05/06/2009    0.0    5.4    28.3    14.7
06/06/2009    0.0    6.3    28.9    15.1
07/06/2009    0.0    6.0    28.2    16.1
08/06/2009    0.0    5.4    28.3    16.0
09/06/2009    0.0    5.8    29.0    16.6
10/06/2009    0.0    4.6    29.2    16.7
11/06/2009    0.0    4.8    29.3    16.9
12/06/2009    4.9    5.3    28.8    16.8
13/06/2009    1.4    5.8    30.9    17.3
14/06/2009    0.3    5.0    29.2    18.8
15/06/2009    0.0    4.9    28.4    18.5
16/06/2009    18.4    5.0    29.3    18.4
17/06/2009    4.9    5.6    28.0    16.8
18/06/2009    8.0    5.0    27.4    17.0
19/06/2009    10.0    4.7    27.4    18.0
20/06/2009    20.6    3.6    28.3    17.7
21/06/2009    10.3    3.7    26.7    17.4
22/06/2009    13.8    5.7    26.8    17.6
23/06/2009    16.9    3.0    23.9    17.6
24/06/2009    4.9    4.1    27.5    16.9
25/06/2009    0.0    3.7    27.8    16.0
26/06/2009    15.0    4.7    27.0    15.9
27/06/2009    14.8    3.8    25.7    16.7
28/06/2009    6.9    2.5    25.7    17.3
29/06/2009    19.1    3.1    24.8    17.3
30/06/2009    7.7    5.3    27.4    17.4
01/07/2009    14.3    2.2    27.1    17.1
02/07/2009    32.5    1.1    26.1    17.5
03/07/2009    15.3    1.3    27.2    18.1
04/07/2009    14.1    1.9    23.4    15.7
05/07/2009    6.9    4.2    24.9    16.0
06/07/2009    0.2    3.5    26.7    14.6
07/07/2009    0.0    6.7    28.5    15.5
08/07/2009    0.3    4.6    28.3    17.3
09/07/2009    2.7    8.1    29.7    18.8
10/07/2009    6.2    4.7    28.8    18.3
11/07/2009    10.9    1.8    28.5    18.4
12/07/2009    4.0    8.1    27.8    17.1
13/07/2009    6.9    5.9    27.5    16.3
14/07/2009    4.9    5.7    27.4    16.6
15/07/2009    6.3    4.6    26.4    16.2
16/07/2009    3.8    3.3    27.1    16.7
17/07/2009    3.2    8.9    27.7    17.4
18/07/2009    24.4    3.1    25.2    16.3
19/07/2009    0.0    3.9    25.7    14.9
20/07/2009    0.0    3.9    26.1    15.3
21/07/2009    5.0    3.1    25.7    15.7
22/07/2009    1.6    3.1    25.5    13.8
23/07/2009    12.9    3.8    25.5    14.2
24/07/2009    0.1    3.4    25.2    14.2
25/07/2009    0.0    3.9    25.9    14.6
26/07/2009    0.0    3.8    27.0    16.4
27/07/2009    0.2    3.3    27.0    15.8
28/07/2009    0.0    4.6    27.0    15.9
29/07/2009    0.6    3.8    27.6    17.2
30/07/2009    0.9    2.7    27.8    16.6
31/07/2009    16.5    6.0    27.3    16.7
01/08/2009    8.2    3.8    27.2    16.5
02/08/2009    4.3    3.4    27.9    15.2
03/08/2009    6.2    7.9    27.4    16.4
04/08/2009    6.3    4.3    27.8    16.9
05/08/2009    1.1    7.8    28.2    17.3
06/08/2009    5.9    9.8    28.0    17.2
07/08/2009    9.1    6.1    26.6    16.4
08/08/2009    17.8    2.7    25.1    14.1
09/08/2009    0.4    3.6    26.1    14.3
10/08/2009    2.0    2.6    25.5    15.2
11/08/2009    0.2    4.3    25.8    15.8
12/08/2009    1.1    4.1    25.6    13.9
13/08/2009    9.9    3.4    27.0    14.8
14/08/2009    3.2    2.4    26.9    15.1
15/08/2009    0.0    4.2    27.5    16.0
16/08/2009    0.6    3.4    28.4    17.4
17/08/2009    2.4    4.1    27.1    16.9
